2022-05-21 21:59:23.422628 +07 | [ant/default-2022-05-21-21-59-15-960437-+07-01] observation space: Box(111,)
2022-05-22 00:16:02.294341 +07 | [ant/default-2022-05-22-00-15-55-578074-+07-01] action space: Box(8,)
2022-05-22 00:16:02.298835 +07 | [ant/default-2022-05-22-00-15-55-578074-+07-01] observation space: Box(111,)
2022-05-22 00:16:02.298918 +07 | [ant/default-2022-05-22-00-15-55-578074-+07-01] action space: Box(8,)
2022-05-22 00:16:02.303830 +07 | [ant/default-2022-05-22-00-15-55-578074-+07-01] observation space: Box(111,)
2022-05-22 00:16:02.303912 +07 | [ant/default-2022-05-22-00-15-55-578074-+07-01] action space: Box(8,)
2022-05-22 00:18:34.127491 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] observation space: Box(111,)
2022-05-22 00:18:34.127637 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] action space: Box(8,)
2022-05-22 00:18:34.133485 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] observation space: Box(111,)
2022-05-22 00:18:34.133597 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] action space: Box(8,)
2022-05-22 00:18:34.138343 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] observation space: Box(111,)
2022-05-22 00:18:34.138425 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] action space: Box(8,)
2022-05-22 00:18:34.143674 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] observation space: Box(111,)
2022-05-22 00:18:34.143780 +07 | [ant/default-2022-05-22-00-18-27-067426-+07-01] action space: Box(8,)
2022-05-22 00:19:39.912970 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] observation space: Box(111,)
2022-05-22 00:19:39.913118 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] action space: Box(8,)
2022-05-22 00:19:39.918397 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] observation space: Box(111,)
2022-05-22 00:19:39.918505 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] action space: Box(8,)
2022-05-22 00:19:39.922819 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] observation space: Box(111,)
2022-05-22 00:19:39.922902 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] action space: Box(8,)
2022-05-22 00:19:39.927599 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] observation space: Box(111,)
2022-05-22 00:19:39.927711 +07 | [ant/default-2022-05-22-00-19-32-457131-+07-01] action space: Box(8,)
2022-05-22 00:29:47.589346 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] observation space: Box(111,)
2022-05-22 00:29:47.589490 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] action space: Box(8,)
2022-05-22 00:29:47.594801 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] observation space: Box(111,)
2022-05-22 00:29:47.594903 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] action space: Box(8,)
2022-05-22 00:29:47.599930 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] observation space: Box(111,)
2022-05-22 00:29:47.600181 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] action space: Box(8,)
2022-05-22 00:29:47.605152 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] observation space: Box(111,)
2022-05-22 00:29:47.605245 +07 | [ant/default-2022-05-22-00-29-40-042623-+07-01] action space: Box(8,)
2022-05-22 00:42:18.093303 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] observation space: Box(111,)
2022-05-22 00:42:18.093472 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] action space: Box(8,)
2022-05-22 00:42:18.098973 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] observation space: Box(111,)
2022-05-22 00:42:18.099081 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] action space: Box(8,)
2022-05-22 00:42:18.104278 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] observation space: Box(111,)
2022-05-22 00:42:18.104387 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] action space: Box(8,)
2022-05-22 00:42:18.109447 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] observation space: Box(111,)
2022-05-22 00:42:18.109554 +07 | [ant/default-2022-05-22-00-42-08-004730-+07-01] action space: Box(8,)
2022-05-22 00:44:56.979343 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] observation space: Box(111,)
2022-05-22 00:44:56.979521 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] action space: Box(8,)
2022-05-22 00:44:56.985836 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] observation space: Box(111,)
2022-05-22 00:44:56.985965 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] action space: Box(8,)
2022-05-22 00:44:56.991430 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] observation space: Box(111,)
2022-05-22 00:44:56.991540 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] action space: Box(8,)
2022-05-22 00:44:56.997633 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] observation space: Box(111,)
2022-05-22 00:44:56.997793 +07 | [ant/default-2022-05-22-00-44-46-824848-+07-01] action space: Box(8,)
2022-05-22 00:48:17.586088 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:17.586240 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 00:48:17.591901 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:17.592070 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 00:48:17.597379 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:17.597566 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 00:48:17.602759 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:17.602880 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 00:48:22.975338 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:22.975471 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 00:48:22.979946 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:22.980060 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 00:48:22.984869 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:22.984958 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 00:48:22.989051 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] observation space: Box(111,)
2022-05-22 00:48:22.989134 +07 | [ant/default-2022-05-22-00-47-47-080931-+07-01] action space: Box(8,)
2022-05-22 01:00:37.556644 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:37.556810 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:00:37.563450 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:37.563587 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:00:37.569259 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:37.569397 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:00:37.575505 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:37.575640 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:00:43.083973 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:43.084120 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:00:43.089060 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:43.089157 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:00:43.093802 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:43.093897 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:00:43.098151 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] observation space: Box(111,)
2022-05-22 01:00:43.098237 +07 | [ant/default-2022-05-22-00-59-44-838829-+07-01] action space: Box(8,)
2022-05-22 01:01:04.160480 +07 | --------------------  ---------
2022-05-22 01:01:04.160618 +07 | beta_t                   1
2022-05-22 01:01:04.160675 +07 | beta                     1
2022-05-22 01:01:04.160742 +07 | best_actor_num           0
2022-05-22 01:01:04.160818 +07 | mean-okl/0             nan
2022-05-22 01:01:04.160895 +07 | mean-bkl/0             nan
2022-05-22 01:01:04.160964 +07 | mean-okl/1             nan
2022-05-22 01:01:04.161015 +07 | mean-bkl/1             nan
2022-05-22 01:01:04.161076 +07 | mean-okl/2             nan
2022-05-22 01:01:04.161149 +07 | mean-bkl/2             nan
2022-05-22 01:01:04.161211 +07 | mean-okl/3             nan
2022-05-22 01:01:04.161295 +07 | mean-bkl/3             nan
2022-05-22 01:01:04.161378 +07 | return-average/0       703.806
2022-05-22 01:01:04.161456 +07 | episode-length-avg/0   905
2022-05-22 01:01:04.161507 +07 | return-average/1       504.298
2022-05-22 01:01:04.161557 +07 | episode-length-avg/1   839.3
2022-05-22 01:01:04.161614 +07 | return-average/2       677.658
2022-05-22 01:01:04.161663 +07 | episode-length-avg/2  1000
2022-05-22 01:01:04.161741 +07 | return-average/3       914.072
2022-05-22 01:01:04.161807 +07 | episode-length-avg/3  1000
2022-05-22 01:01:04.161861 +07 | return-average         699.958
2022-05-22 01:01:04.161912 +07 | time-eval                0
2022-05-22 01:01:04.161962 +07 | time-total              20.9707
2022-05-22 01:01:04.162011 +07 | epoch                    0
2022-05-22 01:01:04.162083 +07 | avg-path-return/0      -22.1623
2022-05-22 01:01:04.162133 +07 | total-samples/0       1000
2022-05-22 01:01:04.162183 +07 | avg-path-return/1      -58.3921
2022-05-22 01:01:04.162232 +07 | total-samples/1       1000
2022-05-22 01:01:04.162281 +07 | avg-path-return/2      -21.9307
2022-05-22 01:01:04.162329 +07 | total-samples/2       1000
2022-05-22 01:01:04.162378 +07 | avg-path-return/3      -17.095
2022-05-22 01:01:04.162428 +07 | total-samples/3       1000
2022-05-22 01:01:04.162476 +07 | --------------------  ---------
2022-05-22 01:01:24.890617 +07 | --------------------  ---------
2022-05-22 01:01:24.890746 +07 | beta_t                   1
2022-05-22 01:01:24.890800 +07 | beta                     1
2022-05-22 01:01:24.890863 +07 | best_actor_num           0
2022-05-22 01:01:24.890946 +07 | mean-okl/0             nan
2022-05-22 01:01:24.891035 +07 | mean-bkl/0             nan
2022-05-22 01:01:24.891081 +07 | mean-okl/1             nan
2022-05-22 01:01:24.891145 +07 | mean-bkl/1             nan
2022-05-22 01:01:24.891223 +07 | mean-okl/2             nan
2022-05-22 01:01:24.891289 +07 | mean-bkl/2             nan
2022-05-22 01:01:24.891364 +07 | mean-okl/3             nan
2022-05-22 01:01:24.891437 +07 | mean-bkl/3             nan
2022-05-22 01:01:24.891527 +07 | return-average/0       679.159
2022-05-22 01:01:24.891598 +07 | episode-length-avg/0   942.5
2022-05-22 01:01:24.891650 +07 | return-average/1       483.242
2022-05-22 01:01:24.891712 +07 | episode-length-avg/1   865.9
2022-05-22 01:01:24.891768 +07 | return-average/2       679.129
2022-05-22 01:01:24.891827 +07 | episode-length-avg/2  1000
2022-05-22 01:01:24.891900 +07 | return-average/3       913.945
2022-05-22 01:01:24.891975 +07 | episode-length-avg/3  1000
2022-05-22 01:01:24.892048 +07 | return-average         688.869
2022-05-22 01:01:24.892103 +07 | time-eval                0
2022-05-22 01:01:24.892155 +07 | time-total              41.7006
2022-05-22 01:01:24.892205 +07 | epoch                    4
2022-05-22 01:01:24.892255 +07 | avg-path-return/0      -54.4726
2022-05-22 01:01:24.892304 +07 | total-samples/0       2000
2022-05-22 01:01:24.892353 +07 | avg-path-return/1      -20.1213
2022-05-22 01:01:24.892402 +07 | total-samples/1       2000
2022-05-22 01:01:24.892450 +07 | avg-path-return/2      -23.3199
2022-05-22 01:01:24.892499 +07 | total-samples/2       2000
2022-05-22 01:01:24.892548 +07 | avg-path-return/3      -44.9025
2022-05-22 01:01:24.892609 +07 | total-samples/3       2000
2022-05-22 01:01:24.892661 +07 | --------------------  ---------
2022-05-22 01:08:25.182271 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:25.182409 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:25.187593 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:25.187710 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:25.191977 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:25.192093 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:25.196702 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:25.196809 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:30.680069 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:30.680232 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:30.685177 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:30.685293 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:30.690046 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:30.690129 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:30.694739 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] observation space: Box(111,)
2022-05-22 01:08:30.694818 +07 | [ant/default-2022-05-22-01-07-31-157643-+07-01] action space: Box(8,)
2022-05-22 01:08:51.851010 +07 | --------------------  ---------
2022-05-22 01:08:51.851142 +07 | beta_t                   1
2022-05-22 01:08:51.851194 +07 | beta                     1
2022-05-22 01:08:51.851262 +07 | best_actor_num           0
2022-05-22 01:08:51.851320 +07 | mean-okl/0             nan
2022-05-22 01:08:51.851370 +07 | mean-bkl/0             nan
2022-05-22 01:08:51.851439 +07 | mean-okl/1             nan
2022-05-22 01:08:51.851512 +07 | mean-bkl/1             nan
2022-05-22 01:08:51.851555 +07 | mean-okl/2             nan
2022-05-22 01:08:51.851604 +07 | mean-bkl/2             nan
2022-05-22 01:08:51.851654 +07 | mean-okl/3             nan
2022-05-22 01:08:51.851702 +07 | mean-bkl/3             nan
2022-05-22 01:08:51.851750 +07 | return-average/0       667.278
2022-05-22 01:08:51.851799 +07 | episode-length-avg/0   835.8
2022-05-22 01:08:51.851848 +07 | return-average/1       546.246
2022-05-22 01:08:51.851896 +07 | episode-length-avg/1   965.5
2022-05-22 01:08:51.851944 +07 | return-average/2       672.68
2022-05-22 01:08:51.851991 +07 | episode-length-avg/2  1000
2022-05-22 01:08:51.852067 +07 | return-average/3       916.769
2022-05-22 01:08:51.852121 +07 | episode-length-avg/3  1000
2022-05-22 01:08:51.852171 +07 | return-average         700.743
2022-05-22 01:08:51.852220 +07 | time-eval                0
2022-05-22 01:08:51.852268 +07 | time-total              21.0681
2022-05-22 01:08:51.852316 +07 | epoch                    0
2022-05-22 01:08:51.852364 +07 | avg-path-return/0      -18.3196
2022-05-22 01:08:51.852412 +07 | total-samples/0       1000
2022-05-22 01:08:51.852459 +07 | avg-path-return/1      -20.8138
2022-05-22 01:08:51.852507 +07 | total-samples/1       1000
2022-05-22 01:08:51.852555 +07 | avg-path-return/2      -19.5271
2022-05-22 01:08:51.852603 +07 | total-samples/2       1000
2022-05-22 01:08:51.852651 +07 | avg-path-return/3      -21.3218
2022-05-22 01:08:51.852699 +07 | total-samples/3       1000
2022-05-22 01:08:51.852747 +07 | --------------------  ---------
2022-05-22 01:09:11.701403 +07 | --------------------  ---------
2022-05-22 01:09:11.701532 +07 | beta_t                   1
2022-05-22 01:09:11.701596 +07 | beta                     1
2022-05-22 01:09:11.701654 +07 | best_actor_num           0
2022-05-22 01:09:11.701739 +07 | mean-okl/0             nan
2022-05-22 01:09:11.701826 +07 | mean-bkl/0             nan
2022-05-22 01:09:11.701886 +07 | mean-okl/1             nan
2022-05-22 01:09:11.701975 +07 | mean-bkl/1             nan
2022-05-22 01:09:11.702062 +07 | mean-okl/2             nan
2022-05-22 01:09:11.702141 +07 | mean-bkl/2             nan
2022-05-22 01:09:11.702220 +07 | mean-okl/3             nan
2022-05-22 01:09:11.702295 +07 | mean-bkl/3             nan
2022-05-22 01:09:11.702357 +07 | return-average/0       735.449
2022-05-22 01:09:11.702407 +07 | episode-length-avg/0   906.8
2022-05-22 01:09:11.702470 +07 | return-average/1       536.773
2022-05-22 01:09:11.702541 +07 | episode-length-avg/1   847.5
2022-05-22 01:09:11.702602 +07 | return-average/2       665.423
2022-05-22 01:09:11.702676 +07 | episode-length-avg/2  1000
2022-05-22 01:09:11.702768 +07 | return-average/3       910.11
2022-05-22 01:09:11.702835 +07 | episode-length-avg/3  1000
2022-05-22 01:09:11.702898 +07 | return-average         711.939
2022-05-22 01:09:11.702959 +07 | time-eval                0
2022-05-22 01:09:11.703021 +07 | time-total              40.9181
2022-05-22 01:09:11.703082 +07 | epoch                    4
2022-05-22 01:09:11.703142 +07 | avg-path-return/0      -29.1443
2022-05-22 01:09:11.703201 +07 | total-samples/0       2000
2022-05-22 01:09:11.703260 +07 | avg-path-return/1      -97.0747
2022-05-22 01:09:11.703316 +07 | total-samples/1       2000
2022-05-22 01:09:11.703365 +07 | avg-path-return/2      -16.5003
2022-05-22 01:09:11.703414 +07 | total-samples/2       2000
2022-05-22 01:09:11.703463 +07 | avg-path-return/3      -51.7268
2022-05-22 01:09:11.703513 +07 | total-samples/3       2000
2022-05-22 01:09:11.703562 +07 | --------------------  ---------
2022-05-22 01:11:29.039205 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:29.039351 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:29.044577 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:29.044678 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:29.049014 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:29.049100 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:29.054470 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:29.054590 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:34.751184 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:34.751319 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:34.755597 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:34.755712 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:34.761702 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:34.761842 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:34.766319 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] observation space: Box(111,)
2022-05-22 01:11:34.766432 +07 | [ant/default-2022-05-22-01-10-37-502408-+07-01] action space: Box(8,)
2022-05-22 01:11:56.079705 +07 | --------------------  ----------
2022-05-22 01:11:56.079843 +07 | beta_t                   1
2022-05-22 01:11:56.079897 +07 | beta                     1
2022-05-22 01:11:56.079964 +07 | best_actor_num           0
2022-05-22 01:11:56.080029 +07 | mean-okl/0             nan
2022-05-22 01:11:56.080083 +07 | mean-bkl/0             nan
2022-05-22 01:11:56.080161 +07 | mean-okl/1             nan
2022-05-22 01:11:56.080223 +07 | mean-bkl/1             nan
2022-05-22 01:11:56.080294 +07 | mean-okl/2             nan
2022-05-22 01:11:56.080358 +07 | mean-bkl/2             nan
2022-05-22 01:11:56.080429 +07 | mean-okl/3             nan
2022-05-22 01:11:56.080509 +07 | mean-bkl/3             nan
2022-05-22 01:11:56.080589 +07 | return-average/0       713.597
2022-05-22 01:11:56.080655 +07 | episode-length-avg/0   954.3
2022-05-22 01:11:56.080723 +07 | return-average/1       563.676
2022-05-22 01:11:56.080776 +07 | episode-length-avg/1   866.7
2022-05-22 01:11:56.080833 +07 | return-average/2       689.403
2022-05-22 01:11:56.080885 +07 | episode-length-avg/2  1000
2022-05-22 01:11:56.080942 +07 | return-average/3       914.289
2022-05-22 01:11:56.080991 +07 | episode-length-avg/3  1000
2022-05-22 01:11:56.081043 +07 | return-average         720.241
2022-05-22 01:11:56.081125 +07 | time-eval                0
